ID,Phase,User Role,Screen Name,Associated Task / Requirement,Functional Description (Backend Logic),Key UI Elements & Data Points,Whether this exists or not,Comments
1,1 - Core,Admin,Lead Ingestion Manager,1. Collect customer data from various sources,"Aggregate leads from Landing Pages (API), CSV Uploads, and Manual Entry into a normalized DB structure.","File Uploader, API Integration Status Indicators, Source Mapping Table.",YES,
2,1 - Core,Admin,Lead Distribution Engine,2. Assign customer data to agents,"Rules engine to route leads based on logic (e.g., Round Robin, Source-based, Language-based).","Assignment Rules Config, Agent Group Selection, Toggle for 'Auto-Assign'.",YES,
3,2 - Automation,Admin,Campaign Automation Builder,1a. Run WhatsApp/Email familiarization campaigns,Trigger Drip Sequences via WhatsApp Business API / SMTP provider upon lead ingestion.,"Template Editor (Text/Media), Sequence Timeline (T+0, T+24hrs), Analytics View.",NO,
4,1 - Core,Tele-caller,The Smart Queue (My Tasks),3. Expose data to agents for calling,"Fetch assigned leads sorted by priority (Fresh, Callback, Retry). Hide leads not belonging to agent.","List View of Leads, Priority Tags (Hot/Warm), 'Click-to-Dial' Button.","YES,  We need to modify the flow and backend to handle the analytics",
5,1 - Core,Tele-caller,Active Call HUD (Heads Up Display),3. Place calls & Record data,Initiate Exotel/Twilio bridge. Real-time WebSocket connection to show screen pop when call connects.,"Customer Name, Demographics, Lead Source, Script/Context Box, Call Controls (Mute/Hangup).",NO,
6,1 - Core,Tele-caller,Active Call HUD (Disposition),4. Record agent response & 5. Take actions,"Save Call Outcome (Connected, Busy, Wrong Number). Trigger logic for next state (e.g., if 'Busy', reschedule).","Dropdown: Disposition Codes, Text Area: Call Notes, Next Action Buttons.","YES, we need to upgrade it",
7,3 - Intelligence,Tele-caller,Customer 360 History,Context: Provide data to resolve objections,"Fetch aggregation of all previous touchpoints (Email opens, Web visits, Previous Call recordings).","Timeline View of Interactions, Playback for Audio Recordings, Objection Handling Cheat-sheet.",NO,
8,2 - Logistics,Tele-caller,Visit Scheduler,6. Assign leads to agent at nearest center,Assignment of leads to centers. Calendar slot booking.,"Map View / Pincode Search, List of Available Field Agents, Appointment Calendar.",NO,
9,2 - Logistics,Field Agent,My Visits (Mobile View),6. Field agent task management,Display assigned appointments for the day. Capture Geolocation on 'Check-in'.,"Daily Agenda List, 'Navigate' Button (Google Maps Link), Customer Address & Phone.",NO,
10,2 - Logistics,Field Agent,Sale / Closure Form,7. Record sale,Update Lead Status to 'Closed-Won'. Trigger invoice generation or welcome email.,"Product Selection Dropdown, Pricing/Discount Fields, Upload Proof (Image/Signature), 'Submit Sale' Button.",NO,
11,3 - Analytics,Admin,Command Center Dashboard,Monitoring & Reporting,"Aggregate metrics on Call Duration, Conversion Rates, Campaign Performance, and Agent Activity.","Live Call Counter, Agent Leaderboard, Funnel Visualization (Leads > Visits > Sales).",NO,
12,3 - Intelligence,Tele-caller,Sales Empowerment Panel,Context: Empower agents with context,"Display deep insights (prev. interactions, website clicks) to help agent resolve objections during the call.","Interaction Timeline, Audio Playback of Prev. Calls, FAQ/Script Search.",NO,
